"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"624-25ABT4E","Wakefield-Vette","345-1098-ND","","","Bulk","Active","1","1,67000","1,67 €","5720","12 Weeks","HEATSINK CPU 21MM SQ W/DBL TAPE","ROHS3 Compliant","Lead free","REACH Unaffected"
"IRF5305PBF","Infineon Technologies","IRF5305PBF-ND","","","Tube","Active","10","0,76700","7,67 €","0","13 Weeks","MOSFET P-CH 55V 31A TO-220AB","ROHS3 Compliant","Lead free","REACH Unaffected"
"RNF14FTD10K0","Stackpole Electronics Inc","RNF14FTD10K0CT-ND","","","Cut Tape (CT)","Active","250","0,01648","4,12 €","403101","20 Weeks","RES 10K OHM 1/4W 1% AXIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"MBA02040C4701FCT00","Vishay Beyschlag/Draloric/BC Components","BC3275CT-ND","","","Cut Tape (CT)","Active","100","0,06030","6,03 €","11637","8 Weeks","RES 4.7K OHM 0.4W 1% AXIAL","ROHS3 Compliant","Lead free","Not Available"
"1N5240B-TR","Vishay Semiconductor Diodes Division","1N5240BVSCT-ND","","","Cut Tape (CT)","Active","100","0,05580","5,58 €","20072","10 Weeks","DIODE ZENER 10V 500MW DO35","ROHS3 Compliant","Lead free","REACH Unaffected"
"OKI-78SR-12/1.0-W36-C","Murata Power Solutions Inc.","811-3293-ND","","","Tray","Active","5","3,60000","18,00 €","1324","14 Weeks","DC DC CONVERTER 12V 12W","RoHS Compliant","Lead free","REACH Unaffected"
"OKI-78SR-5/1.5-W36-C","Murata Power Solutions Inc.","811-2196-5-ND","","","Tray","Active","5","3,42200","17,11 €","9329","14 Weeks","DC DC CONVERTER 5V 8W","RoHS Compliant","Lead free","REACH Unaffected"
"OKI-78SR-3.3/1.5-W36-C","Murata Power Solutions Inc.","811-2195-5-ND","","","Tray","Active","5","3,42200","17,11 €","87","14 Weeks","DC DC CONVERTER 3.3V 5W","RoHS Compliant","Lead free","REACH Unaffected"
"RDER71H224K1M1H03A","Murata Electronics","490-9162-1-ND","","","Cut Tape (CT)","Active","50","0,23200","11,60 €","2056","11 Weeks","CAP CER 0.22UF 50V X7R RADIAL","ROHS3 Compliant","Lead free","Not Available"
"DCJ250-20-B-K1-A","GCT","2073-DCJ250-20-B-K1-ACT-ND","","","Cut Tape (CT)","Active","5","1,08000","5,40 €","225","7 Weeks","DC HIGH POWER JACK, THRU HOLE, H","ROHS3 Compliant","Lead free","Not Available"
"MBB02070C3302FCT00","Vishay Beyschlag/Draloric/BC Components","BC3745CT-ND","","","Cut Tape (CT)","Active","100","0,07270","7,27 €","5481","15 Weeks","RES 33K OHM 0.6W 1% AXIAL","ROHS3 Compliant","Lead free","Not Available"
"LDD-1500L","MEAN WELL USA Inc.","1866-3101-ND","","","Tube","Active","2","4,42000","8,84 €","374","20 Weeks","LED DRIVER CC BUCK 2-30V 1.5A","ROHS3 Compliant","Lead free","Not Available"
"LDH-65-1750","MEAN WELL USA Inc.","1866-LDH-65-1750-ND","","","Box","Active","2","13,42000","26,84 €","20","12 Weeks","DC-DC STEP-UP CONSTANT CURRENT L","ROHS3 Compliant","Not Available","Not Available"
"LDH-45B-1050","MEAN WELL USA Inc.","1866-3127-ND","","","Tray","Active","2","9,21000","18,42 €","47","15 Weeks","LED DRIVER CC BOOST 21-43V 1.05A","ROHS3 Compliant","Lead free","Not Available"
"LDD-1500H","MEAN WELL USA Inc.","1866-3099-ND","","","Tube","Active","2","5,60000","11,20 €","281","20 Weeks","LED DRIVER CC BUCK 2-46V 1.5A","ROHS3 Compliant","Lead free","Not Available"
"0436450308","Molex","WM11251-ND","","","Bag","Active","50","0,28800","14,40 €","5584","7 Weeks","CONN RCPT HSG 3POS 3.00MM","ROHS3 Compliant","Lead free","REACH Unaffected"
"0436450508","Molex","WM12761-ND","","","Bag","Active","10","0,34100","3,41 €","227","9 Weeks","CONN RCPT HSG 5POS 3.00MM","ROHS3 Compliant","Lead free","REACH Unaffected"
"0436500502","Molex","WM20160-ND","","","Tray","Active","10","1,66500","16,65 €","1648","9 Weeks","CONN HEADER R/A 5POS 3MM","ROHS3 Compliant","Lead free","REACH Unaffected"
"B2B-PH-K-S(LF)(SN)","JST Sales America Inc.","455-1704-ND","","","Bulk","Active","25","0,10200","2,55 €","18518","18 Weeks","CONN HEADER VERT 2POS 2MM","RoHS Compliant","Lead free","Not Available"
"PHR-2","JST Sales America Inc.","455-1165-ND","","","Bulk","Active","25","0,04920","1,23 €","8195","24 Weeks","CONN HOUSING PH 2POS 2MM WHITE","RoHS Compliant","Lead free","Not Available"
"SPH-002T-P0.5L","JST Sales America Inc.","455-2148-1-ND","","","Cut Tape (CT)","Active","50","0,02780","1,39 €","478928","24 Weeks","CONN SOCKET 24-28AWG CRIMP TIN","ROHS3 Compliant","Lead free","REACH Unaffected"
"ECA-1CM100I","Panasonic Electronic Components","P19513CT-ND","","","Cut Tape (CT)","Active","25","0,10800","2,70 €","2916","15 Weeks","CAP ALUM 10UF 20% 16V RADIAL","RoHS Compliant","Lead free","Not Available"
"640445-4","TE Connectivity AMP Connectors","A1972-ND","","","Bulk","Active","20","0,22000","4,40 €","26970","13 Weeks","CONN HEADER VERT 4POS 3.96MM","RoHS Compliant","Lead free","Not Available"
"GB215AP-C","NKK Switches","GB215AP-C-ND","","","Tray","Active","10","2,19200","21,92 €","42","9 Weeks","SWITCH PUSH SPST-NO 0.4VA 28V","ROHS3 Compliant","Lead free","REACH Unaffected"
"WP710A10QBC/D","Kingbright","754-1596-ND","","","Bulk","Active","20","0,22000","4,40 €","72479","12 Weeks","LED BLUE CLEAR T-1 T/H","ROHS3 Compliant","Lead free","REACH Unaffected"
"2N3904BU","ON Semiconductor","2N3904FS-ND","","","Bulk","Active","25","0,11480","2,87 €","129007","Not Available","TRANS NPN 40V 200MA TO92-3","ROHS3 Compliant","Lead free","REACH Unaffected"
"300DP3J1BLKM6QE","E-Switch","300DP3J1BLKM6QE-ND","","","Bulk","Active","5","3,72000","18,60 €","658","10 Weeks","SWITCH ROCKER DPDT 5A 120V","ROHS3 Compliant","Lead free","REACH Unaffected"
"HP20S-CALBL-001","Aavid, Thermal Division of Boyd Corporation","1061-1009-ND","","","Tray","Active","1","6,64000","6,64 €","592","Not Available","ROUND HEAT SINK PAR SPOTLIGHTS","RoHS Compliant","Lead free","Not Available"
"APF30-30-06CB","CTS Thermal Management Products","294-1151-ND","","","Box","Active","1","4,67000","4,67 €","27","14 Weeks","HEATSINK LOW-PROFILE FORGED","RoHS Compliant","Lead free","REACH Unaffected"
"625-45AB","Wakefield-Vette","345-1090-ND","","","Bulk","Active","1","1,23000","1,23 €","1678","12 Weeks","HEATSINK CPU 25MM SQ H=.45"" BLK","ROHS3 Compliant","Lead free","REACH Unaffected"
"374624B00032G","Aavid, Thermal Division of Boyd Corporation","HS395-ND","","","Bulk","Active","1","5,76000","5,76 €","89","8 Weeks","HEATSINK BGA 35X35X10MM W/ADH","RoHS Compliant","Lead free","Not Available"
"HP20S-CALBL-001","Aavid, Thermal Division of Boyd Corporation","1061-1009-ND","","","Tray","Active","1","6,64000","6,64 €","592","Not Available","ROUND HEAT SINK PAR SPOTLIGHTS","RoHS Compliant","Lead free","Not Available"
"0436500302","Molex","WM14585-ND","","","Tray","Active","10","1,10600","11,06 €","1185","6 Weeks","CONN HEADER R/A 3POS 3MM","ROHS3 Compliant","Lead free","REACH Unaffected"
